"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"61272103","2024-05-27T00:50:17.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","10040","49 WADSWORTH TERRACE","WADSWORTH TERRACE","WEST  190 STREET","FAIRVIEW AVENUE","WEST  190 STREET","FAIRVIEW AVENUE","ADDRESS","NEW YORK","WADSWORTH TERRACE",,"In Progress",,,"2024-05-27T02:10:24.000","12 MANHATTAN","1021700368","MANHATTAN","1003203","251150","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.85600325363365","-73.93148658404868","
,  
(40.85600325363365, -73.93148658404868)"
"61279594","2024-05-27T00:50:02.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10456","1199 FULTON AVENUE","FULTON AVENUE","EAST  167 STREET","EAST  168 STREET","EAST  167 STREET","EAST  168 STREET","ADDRESS","BRONX","FULTON AVENUE",,"In Progress",,,"2024-05-27T01:13:10.000","03 BRONX","2026090037","BRONX","1010573","241714","ONLINE","Unspecified","BRONX",,,,,,,,"40.83008531217519","-73.90488174394737","
,  
(40.83008531217519, -73.90488174394737)"
"61278420","2024-05-27T00:50:01.000",,"DOT","Department of Transportation","Street Condition","Pothole",,"11373","82 STREET","82 STREET","ITHACA STREET","NYCTA SUBWAY",,,"BLOCKFACE","QUEENS",,"N/A","Open",,"The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.","2024-05-27T00:50:01.000","04 QUEENS",,"QUEENS",,,"UNKNOWN","Unspecified","QUEENS",,,,,,,,,,
"61279581","2024-05-27T00:49:51.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","10002","177 CHRYSTIE STREET","CHRYSTIE STREET","DELANCEY STREET","RIVINGTON STREET","DELANCEY STREET","RIVINGTON STREET","ADDRESS","NEW YORK","CHRYSTIE STREET",,"In Progress",,,"2024-05-27T01:20:08.000","03 MANHATTAN","1004250026","MANHATTAN","986373","201982","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72107039661541","-73.99234108175814","
,  
(40.72107039661541, -73.99234108175814)"
"61275399","2024-05-27T00:49:44.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","11434","126-19 MERRICK BOULEVARD","MERRICK BOULEVARD","126 AVENUE","127 AVENUE","126 AVENUE","127 AVENUE","ADDRESS","JAMAICA","MERRICK BOULEVARD",,"In Progress",,,"2024-05-27T01:39:34.000","12 QUEENS","4124860001","QUEENS","1049134","187787","PHONE","Unspecified","QUEENS",,,,,,,,"40.68187089534303","-73.7660623046722","
,  
(40.68187089534303, -73.7660623046722)"
"61276422","2024-05-27T00:49:37.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10461","1728 HONE AVENUE","HONE AVENUE","VAN NEST AVENUE","MORRIS PARK AVENUE","VAN NEST AVENUE","MORRIS PARK AVENUE","ADDRESS","BRONX","HONE AVENUE",,"In Progress",,,"2024-05-27T01:30:14.000","11 BRONX","2041040037","BRONX","1024647","248250","PHONE","Unspecified","BRONX","SUV",,,,,,,"40.84797154812456","-73.85398600354914","
,  
(40.84797154812456, -73.85398600354914)"
"61275413","2024-05-27T00:49:34.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10451","EAST  149 STREET","EAST  149 STREET","EAST  149 STREET","RIVER AVENUE","EAST  149 STREET","RIVER AVENUE","INTERSECTION",,,,"In Progress",,,"2024-05-27T00:56:03.000","01 BRONX",,"BRONX","1003538","237784","PHONE","Unspecified","BRONX",,,,,,,,"40.819316747147425","-73.93031402663465","
,  
(40.819316747147425, -73.93031402663465)"
"61274269","2024-05-27T00:49:17.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10462","736 VAN NEST AVENUE","VAN NEST AVENUE","HUNT AVENUE","HOLLAND AVENUE","HUNT AVENUE","HOLLAND AVENUE","ADDRESS","BRONX","VAN NEST AVENUE",,"In Progress",,,"2024-05-27T01:29:56.000","11 BRONX","2040380006","BRONX","1021814","246814","PHONE","Unspecified","BRONX",,,,,,,,"40.844042661763986","-73.86423384223299","
,  
(40.844042661763986, -73.86423384223299)"
"61279582","2024-05-27T00:49:07.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Store/Commercial","10305","200 MCCLEAN AVENUE","MCCLEAN AVENUE","WALLACE AVENUE","MILLS AVENUE","WALLACE AVENUE","MILLS AVENUE","ADDRESS","STATEN ISLAND","MC CLEAN AVENUE",,"In Progress",,,"2024-05-27T01:02:13.000","02 STATEN ISLAND","5031120015","STATEN ISLAND","965134","156878","MOBILE","Unspecified","STATEN ISLAND",,,,,,,,"40.59724950215201","-74.06883485383008","
,  
(40.59724950215201, -74.06883485383008)"
"61273227","2024-05-27T00:49:03.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10470","4724 BRONX BOULEVARD","BRONX BOULEVARD","EAST  241 STREET","EAST  242 STREET","EAST  241 STREET","EAST  242 STREET","ADDRESS","BRONX","BRONX BOULEVARD",,"In Progress",,,"2024-05-27T02:02:30.000","12 BRONX","2051030020","BRONX","1024827","269230","MOBILE","Unspecified","BRONX",,,,,,,,"40.90555425785195","-73.85320832363475","
,  
(40.90555425785195, -73.85320832363475)"
"61273298","2024-05-27T00:48:48.000",,"DHS","Department of Homeless Services","Homeless Person Assistance","Non-Chronic","Street/Sidewalk","10007","97 WARREN STREET","WARREN STREET","GREENWICH STREET","WEST STREET","GREENWICH STREET","WEST STREET","ADDRESS","NEW YORK","WARREN STREET",,"Assigned",,"The Department of Homeless Services has sent a mobile outreach response team to the location.","2024-05-27T00:54:04.000","01 MANHATTAN","1001427501","MANHATTAN","981011","200079","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.715846780765375","-74.01168407538347","
,  
(40.715846780765375, -74.01168407538347)"
"61278535","2024-05-27T00:48:34.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","11211","231 SOUTH    4 STREET","SOUTH    4 STREET","ROEBLING STREET","WILLIAMSBURG BRG EN S    4 ST","ROEBLING STREET","WILLIAMSBURG BRG EN S    4 ST","ADDRESS","BROOKLYN","SOUTH    4 STREET",,"In Progress",,,"2024-05-27T01:06:48.000","01 BROOKLYN","3024330033","BROOKLYN","995601","198119","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.71046035972977","-73.95905673760576","
,  
(40.71046035972977, -73.95905673760576)"
"61278551","2024-05-27T00:48:33.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10462","1727 ZEREGA AVENUE","ZEREGA AVENUE","BUCK STREET","FULLER STREET","BUCK STREET","FULLER STREET","ADDRESS","BRONX","ZEREGA AVENUE",,"In Progress",,,"2024-05-27T01:01:05.000","10 BRONX","2039910057","BRONX","1025198","245512","MOBILE","Unspecified","BRONX",,,,,,,,"40.84045401336844","-73.85201115016729","
,  
(40.84045401336844, -73.85201115016729)"
"61273195","2024-05-27T00:48:21.000",,"NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Traffic","Street/Sidewalk","10032","647 WEST  172 STREET","WEST  172 STREET","BROADWAY","FORT WASHINGTON AVENUE","BROADWAY","FORT WASHINGTON AVENUE","ADDRESS","NEW YORK","WEST  172 STREET",,"In Progress",,,"2024-05-27T01:05:03.000","12 MANHATTAN","1021420095","MANHATTAN","1000929","246864","MOBILE","Unspecified","MANHATTAN","Car",,,,,,,"40.84424404365834","-73.93971755210634","
,  
(40.84424404365834, -73.93971755210634)"
"61277499","2024-05-27T00:48:00.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11377","32-17 53 PLACE","53 PLACE","32 AVENUE","BROADWAY","32 AVENUE","BROADWAY","ADDRESS","WOODSIDE","53 PLACE",,"In Progress",,,"2024-05-27T01:11:33.000","01 QUEENS","4011550072","QUEENS","1009777","214266","PHONE","Unspecified","QUEENS",,,,,,,,"40.75475034064086","-73.9078624149826","
,  
(40.75475034064086, -73.9078624149826)"
"61277508","2024-05-27T00:47:59.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11101","40-03 10 STREET","10 STREET","40 AVENUE","41 AVENUE","40 AVENUE","41 AVENUE","ADDRESS","LONG ISLAND CITY","10 STREET",,"In Progress",,,"2024-05-27T01:15:43.000","01 QUEENS","4004700100","QUEENS","999656","215013","PHONE","Unspecified","QUEENS",,,,,,,,"40.756824091980754","-73.94439159869358","
,  
(40.756824091980754, -73.94439159869358)"
"61279593","2024-05-27T00:47:57.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11216","894 STERLING PLACE","STERLING PLACE","NOSTRAND AVENUE","NEW YORK AVENUE","NOSTRAND AVENUE","NEW YORK AVENUE","ADDRESS","BROOKLYN","STERLING PLACE",,"In Progress",,,"2024-05-27T01:17:13.000","08 BROOKLYN","3012480025","BROOKLYN","998409","184273","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.672452243053584","-73.94895733437518","
,  
(40.672452243053584, -73.94895733437518)"
"61273133","2024-05-27T00:47:56.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11219","1246 43 STREET","43 STREET","12 AVENUE","13 AVENUE","12 AVENUE","13 AVENUE","ADDRESS","BROOKLYN","43 STREET",,"In Progress",,,"2024-05-27T01:15:38.000","12 BROOKLYN","3056040022","BROOKLYN","987088","172108","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.63907284967489","-73.98977423438741","
,  
(40.63907284967489, -73.98977423438741)"
"61279601","2024-05-27T00:47:49.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10468","2701 SEDGWICK AVENUE","SEDGWICK AVENUE","WEST KINGSBRIDGE ROAD","WEST  195 STREET","WEST KINGSBRIDGE ROAD","WEST  195 STREET","ADDRESS","BRONX","SEDGWICK AVENUE",,"In Progress",,,"2024-05-27T01:35:39.000","08 BRONX","2032530001","BRONX","1011018","256242","MOBILE","Unspecified","BRONX",,,,,,,,"40.86995901095286","-73.90321573338507","
,  
(40.86995901095286, -73.90321573338507)"
"61274295","2024-05-27T00:47:41.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","10457","273 EAST  178 STREET","EAST  178 STREET","GRAND CONCOURSE","ANTHONY AVENUE","GRAND CONCOURSE","ANTHONY AVENUE","ADDRESS","BRONX","EAST  178 STREET",,"In Progress",,,"2024-05-27T01:04:23.000","05 BRONX",,"BRONX","1010944","249049","ONLINE","Unspecified","BRONX","Car",,,,,,,"40.850216625296014","-73.90351193996479","
,  
(40.850216625296014, -73.90351193996479)"
"61278514","2024-05-27T00:47:24.000",,"NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking","Street/Sidewalk","11208","115 RICHMOND STREET","RICHMOND STREET","ETNA STREET","RIDGEWOOD AVENUE","ETNA STREET","RIDGEWOOD AVENUE","ADDRESS","BROOKLYN","RICHMOND STREET",,"In Progress",,,"2024-05-27T01:20:26.000","05 BROOKLYN","3041150005","BROOKLYN","1018310","188775","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.68475500438785","-73.87719228682688","
,  
(40.68475500438785, -73.87719228682688)"
"61276402","2024-05-27T00:47:22.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11220","630 44 STREET","44 STREET","6 AVENUE","7 AVENUE","6 AVENUE","7 AVENUE","ADDRESS","BROOKLYN","44 STREET",,"In Progress",,,"2024-05-27T01:13:33.000","07 BROOKLYN","3007400018","BROOKLYN","983188","174866","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64664335794098","-74.00382698916638","
,  
(40.64664335794098, -74.00382698916638)"
"61273243","2024-05-27T00:47:13.000",,"NYPD","New York City Police Department","Noise - Vehicle","Car/Truck Music","Street/Sidewalk","11221","1260 MYRTLE AVENUE","MYRTLE AVENUE","HART STREET","CEDAR STREET","HART STREET","CEDAR STREET","ADDRESS","BROOKLYN","MYRTLE AVENUE",,"In Progress",,,"2024-05-27T00:57:13.000","04 BROOKLYN","3032270031","BROOKLYN","1004539","193553","PHONE","Unspecified","BROOKLYN","SUV",,,,,,,"40.69791178661849","-73.92683097848253","
,  
(40.69791178661849, -73.92683097848253)"
"61273240","2024-05-27T00:47:07.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10032","655 WEST  160 STREET","WEST  160 STREET","FORT WASHINGTON AVENUE","RIVERSIDE DRIVE","FORT WASHINGTON AVENUE","RIVERSIDE DRIVE","ADDRESS","NEW YORK","WEST  160 STREET",,"In Progress",,,"2024-05-27T00:57:10.000","12 MANHATTAN","1021360098","MANHATTAN","999307","244152","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.83680331008733","-73.94558598899529","
,  
(40.83680331008733, -73.94558598899529)"
"61275375","2024-05-27T00:47:04.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","10452","1357 UNIVERSITY AVENUE","UNIVERSITY AVENUE","HIGHBRIDGE PARK STAIRWAY","WEST  170 STREET","HIGHBRIDGE PARK STAIRWAY","WEST  170 STREET","ADDRESS","BRONX","UNIVERSITY AVENUE",,"In Progress",,,"2024-05-27T01:49:34.000","04 BRONX",,"BRONX","1004625","246035","PHONE","Unspecified","BRONX",,,,,,,,"40.84196092735583","-73.92636172613368","
,  
(40.84196092735583, -73.92636172613368)"
"61278511","2024-05-27T00:47:02.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11433","105-11 171 PLACE","171 PLACE","105 AVENUE","107 AVENUE","105 AVENUE","107 AVENUE","ADDRESS","JAMAICA","171 PLACE",,"In Progress",,,"2024-05-27T01:23:28.000","12 QUEENS","4102410019","QUEENS","1043734","195032","PHONE","Unspecified","QUEENS",,,,,,,,"40.70179462417971","-73.78546781911828","
,  
(40.70179462417971, -73.78546781911828)"
"61273913","2024-05-27T00:46:59.000","2024-05-27T00:50:51.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10456","1465 WASHINGTON AVENUE","WASHINGTON AVENUE","ST PAULS PLACE","EAST  171 STREET","ST PAULS PLACE","EAST  171 STREET","ADDRESS","BRONX","WASHINGTON AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-05-27T00:50:55.000","03 BRONX","2029020036","BRONX","1010885","244212","ONLINE","Unspecified","BRONX",,,,,,,,"40.83694066292417","-73.90374441298103","
,  
(40.83694066292417, -73.90374441298103)"
"61278610","2024-05-27T00:46:58.000",,"DSNY","Department of Sanitation","Dirty Condition","Trash","Sidewalk","10040","374 WADSWORTH AVENUE","WADSWORTH AVENUE","WEST  191 STREET","WEST  192 STREET","WEST  191 STREET","WEST  192 STREET","ADDRESS","NEW YORK","WADSWORTH AVENUE",,"In Progress",,,,"12 MANHATTAN","1021700260","MANHATTAN","1003662","251356","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.856567664593555","-73.92982674386413","
,  
(40.856567664593555, -73.92982674386413)"
"61275404","2024-05-27T00:46:25.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11412","112-17 198 STREET","198 STREET","112 AVENUE","113 AVENUE","112 AVENUE","113 AVENUE","ADDRESS","SAINT ALBANS","198 STREET",,"In Progress",,,"2024-05-27T01:34:04.000","12 QUEENS",,"QUEENS","1051486","195085","PHONE","Unspecified","QUEENS",,,,,,,,"40.70188459076956","-73.75750942803408","
,  
(40.70188459076956, -73.75750942803408)"
"61276408","2024-05-27T00:46:20.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11201","202 PLYMOUTH STREET","PLYMOUTH STREET","JAY STREET","BRIDGE STREET","JAY STREET","BRIDGE STREET","ADDRESS","BROOKLYN","PLYMOUTH STREET",,"In Progress",,,"2024-05-27T00:56:15.000","02 BROOKLYN","3000317502","BROOKLYN","988254","195659","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70371461603337","-73.98555896144958","
,  
(40.70371461603337, -73.98555896144958)"
"61273219","2024-05-27T00:46:15.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Store/Commercial","10010","244 THIRD AVENUE","THIRD AVENUE","EAST   20 STREET","EAST   21 STREET","EAST   20 STREET","EAST   21 STREET","ADDRESS","NEW YORK","3 AVENUE",,"In Progress",,,"2024-05-27T01:08:43.000","06 MANHATTAN","1008767502","MANHATTAN","988546","207783","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.73699193608047","-73.98449808050245","
,  
(40.73699193608047, -73.98449808050245)"
"61275400","2024-05-27T00:46:12.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","11434","126-19 MERRICK BOULEVARD","MERRICK BOULEVARD","126 AVENUE","127 AVENUE","126 AVENUE","127 AVENUE","ADDRESS","JAMAICA","MERRICK BOULEVARD",,"In Progress",,,"2024-05-27T01:04:35.000","12 QUEENS","4124860001","QUEENS","1049134","187787","PHONE","Unspecified","QUEENS",,,,,,,,"40.68187089534303","-73.7660623046722","
,  
(40.68187089534303, -73.7660623046722)"
"61272133","2024-05-27T00:46:10.000",,"DPR","Department of Parks and Recreation","New Tree Request","For One Address","Street","11375","109-14 ASCAN AVENUE","ASCAN AVENUE","AUSTIN STREET","72 DRIVE","AUSTIN STREET","72 DRIVE","ADDRESS","FOREST HILLS","ASCAN AVENUE",,"In Progress",,,,"06 QUEENS","4032920001","QUEENS","1028497","201131","MOBILE","Unspecified","QUEENS",,,,,,,,"40.71862421079589","-73.84038063842087","
,  
(40.71862421079589, -73.84038063842087)"
"61274270","2024-05-27T00:45:59.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10470","4711 BRONX BOULEVARD","BRONX BOULEVARD","EAST  241 STREET","EAST  242 STREET","EAST  241 STREET","EAST  242 STREET","ADDRESS","BRONX","BRONX BOULEVARD",,"In Progress",,,"2024-05-27T02:02:50.000","12 BRONX","2051020010","BRONX","1024788","269175","MOBILE","Unspecified","BRONX",,,,,,,,"40.90540348015445","-73.85334974318091","
,  
(40.90540348015445, -73.85334974318091)"
"61278548","2024-05-27T00:45:39.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11233","2002 FULTON STREET","FULTON STREET","HOWARD AVENUE","HULL STREET","HOWARD AVENUE","HULL STREET","ADDRESS","BROOKLYN","FULTON STREET",,"In Progress",,,"2024-05-27T01:01:58.000","03 BROOKLYN","3015490011","BROOKLYN","1006958","186544","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67866782281461","-73.91813087205412","
,  
(40.67866782281461, -73.91813087205412)"
"61276406","2024-05-27T00:45:32.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11411","115-103 227 STREET","227 STREET","115 ROAD","116 AVENUE","115 ROAD","116 AVENUE","ADDRESS","CAMBRIA HEIGHTS","227 STREET",,"In Progress",,,"2024-05-27T01:36:09.000","13 QUEENS","4113090007","QUEENS","1058316","192730","PHONE","Unspecified","QUEENS",,,,,,,,"40.69536616361982","-73.73290267639054","
,  
(40.69536616361982, -73.73290267639054)"
"61275372","2024-05-27T00:45:30.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11417","107-27 90 STREET","90 STREET","107 AVENUE","SUTTER AVENUE","107 AVENUE","SUTTER AVENUE","ADDRESS","OZONE PARK","90 STREET",,"In Progress",,,"2024-05-27T01:57:54.000","10 QUEENS","4091550061","QUEENS","1026519","186194","MOBILE","Unspecified","QUEENS",,,,,,,,"40.677635361127415","-73.84760992439215","
,  
(40.677635361127415, -73.84760992439215)"
"61273423","2024-05-27T00:44:55.000",,"NYPD","New York City Police Department","Illegal Parking","License Plate Obscured","Street/Sidewalk","10040","614 WEST  192 STREET","WEST  192 STREET","ST NICHOLAS AVENUE","WADSWORTH AVENUE","ST NICHOLAS AVENUE","WADSWORTH AVENUE","ADDRESS","NEW YORK","WEST  192 STREET",,"In Progress",,,"2024-05-27T01:56:49.000","12 MANHATTAN","1021690012","MANHATTAN","1003901","251252","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85628168704239","-73.92896307795719","
,  
(40.85628168704239, -73.92896307795719)"
"61276061","2024-05-27T00:44:44.000","2024-05-27T00:51:26.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10456","1481 WASHINGTON AVENUE","WASHINGTON AVENUE","ST PAULS PLACE","EAST  171 STREET","ST PAULS PLACE","EAST  171 STREET","ADDRESS","BRONX","WASHINGTON AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-05-27T00:51:30.000","03 BRONX","2029020036","BRONX","1010934","244328","ONLINE","Unspecified","BRONX",,,,,,,,"40.83725890119578","-73.90356687170548","
,  
(40.83725890119578, -73.90356687170548)"
